Epoch,Loss,Accuracy
1,1.5342204832103803,40.4105888708806
2,1.327209483856259,49.5407887628309
3,1.1946537484360564,56.94219340896812
4,1.1059690452548907,59.643435980551054
5,1.015731062925145,62.83090221501891
6,0.9200266212160593,62.77687736358725
7,0.8529928827710594,67.90923824959481
8,0.7905336263112837,70.82658022690437
9,0.7410366858957138,70.39438141545111
10,0.6786582831687598,72.28525121555916
11,0.6383784635245928,74.1761210156672
12,0.5971224087553971,76.3911399243652
13,0.573513194661161,75.634792004322
14,0.5334948163246233,75.25661804430038
15,0.5001567238961904,77.47163695299838
16,0.46971660873351806,78.93030794165315
17,0.45079413778902905,78.8762830902215
18,0.40637538513695703,79.4165316045381
19,0.3896623114304975,78.82225823878984
20,0.3649252550052901,78.82225823878984
21,0.36935689501448277,80.4430037817396
22,0.3386740561888491,80.76715289032956
23,0.31981961378831714,81.14532685035117
24,0.3194316179022901,80.87520259319287
25,0.28918392551543903,81.25337655321448
26,0.27535590813465044,80.65910318746623
27,0.28038534085763134,81.84764991896272
28,0.26227246070196186,82.11777417612102
29,0.2507468709806644,82.60399783900594
30,0.25552318773843896,81.95569962182604
31,0.23989846231315293,82.82009724473258
32,0.22737083403840178,82.71204754186925
33,0.21657927339538513,82.54997298757428
34,0.21247958955224241,83.90059427336575
35,0.20595811590648883,83.84656942193409
36,0.19351614694982028,82.06374932468935
37,0.1891686314039061,84.17071853052404
38,0.18456070574873468,84.00864397622907
39,0.1850498460502752,83.57644516477579
40,0.17416185374823287,84.49486763911399
41,0.1630605220996833,83.3063209076175
42,0.16577704068017846,83.68449486763912
43,0.17116005015388516,83.73851971907077
44,0.1624730273268586,82.87412209616424
45,0.15264803418772974,82.76607239330092
46,0.14349858217106298,84.76499189627229
47,0.1573494872622409,83.19827120475419
48,0.15784681923425964,83.57644516477579
49,0.1445192787816374,83.36034575904917
50,0.15044479488574178,83.90059427336575
